Ticker,Continent,Currency,Exchange,Name,Type
PFBX,America,USD,NCM,Peoples Financial Corporation,Stock
SNAS,America,USD,PNK,"Sino Assurance, Inc.",Stock
PTIZF,America,USD,PNK,PT Indo Tambangraya Megah Tbk,Stock
AMCZF,America,USD,PNK,Amata Corporation Public Company Limited,Stock
PED.SW,Europe,CHF,EBS,PERROT DUVAL HLDG,Stock
NFC.HM,Europe,EUR,HAM,NETFLIX,Stock
SNAK,America,USD,NMS,"Inventure Foods, Inc.",Stock
JTPY,America,USD,NCM,JetPay Corporation,Stock
DLGC,America,USD,PNK,"Dialogic, Inc.",Stock
PWURF,America,USD,PNK,Powertech Uranium Corp.,Stock
CRDC,America,USD,NGM,Cardica Inc.,Stock
HWBK,America,USD,NMS,"Hawthorn Bancshares, Inc.",Stock
T,America,USD,NYQ,"AT&T;, Inc.",Stock
MTU.AX,Asia,AUD,ASX,M2 Group Ltd,Stock
JMLP,America,USD,NYQ,Nuveen All Cap Energy MLP Oppor,Stock
BB.TO,America,CAD,TOR,BlackBerry Limited,Stock
CRDS,America,USD,NCM,"Crossroads Systems, Inc.",Stock
IROQ,America,USD,NCM,"IF Bancorp, Inc.",Stock
JGPK,America,USD,PNK,"Jagged Peak, Inc.",Stock
T28.SI,Asia,SGD,SES,Teledata (Singapore) Limited,Stock
FFIN,America,USD,NMS,First Financial Bankshares Inc.,Stock
EVJ,America,USD,ASE,Eaton Vance New Jersey Municipa,Stock
AXY.TO,America,CAD,TOR,Alterra Power Corp.,Stock
EVN,America,USD,NYQ,Eaton Vance Municipal Income Tr,Stock
ABTL,America,USD,NCM,Autobytel Inc.,Stock
EVC,America,USD,NYQ,Entravision Communications Corporation,Stock
EVG,America,USD,NYQ,Eaton Vance Short Duration Diversified Income Fund,Stock
SFGP,America,USD,PNK,"Siuslaw Financial Group, Inc.",Stock
EVY,America,USD,ASE,Eaton Vance New York Municipal ,Stock
EVP,America,USD,ASE,Eaton Vance Pennsylvania Munici,Stock
EVV,America,USD,ASE,Eaton Vance Limited Duration Income Fund,Stock
JE3.BE,Europe,EUR,BER,YASHILI INTL,Stock
EVT,America,USD,NYQ,Eaton Vance Tax Advantaged Divi,Stock
NWHM,America,USD,NYQ,The New Home Company LLC,Stock
JEQ,America,USD,NYQ,"Aberdeen Japan Equity Fund, Inc",Stock
WMHI,America,USD,PNK,"World Mobile Holdings, Inc.",Stock
VNOM,America,USD,NMS,Viper Energy Partners LP,Stock
JEC,America,USD,NYQ,Jacobs Engineering Group Inc.,Stock
TREC,America,USD,NYQ,Trecora Resources,Stock
WOSYY,America,USD,PNK,Wolseley plc,Stock
GLRE,America,USD,NMS,"Greenlight Capital Re, Ltd.",Stock
SENEB,America,USD,NMS,Seneca Foods Corp.,Stock
SENEA,America,USD,NMS,Seneca Foods Corp.,Stock
1230.HK,Asia,HKD,HKG,Yashili International Holdings Limited,Stock
NRN.SG,Europe,EUR,STU,XCEL ENERGY ,Stock
HCACW,America,USD,NCM,Hennessy Capital Acquisition Co,Stock
HCACU,America,USD,NCM,Hennessy Capital Acquisition Co,Stock
YYFSL,America,USD,PNK,BOSTON CAP TX SER 47,Stock
VMSTF,America,USD,PNK,VMS Ventures Inc.,Stock
SU.PA,Europe,EUR,PAR,Schneider Electric S.A.,Stock
WGNB,America,USD,PNK,WGNB Corp.,Stock
PEY.TO,America,CAD,TOR,Peyto Exploration & Development Corp,Stock
QNBC,America,USD,PNK,QNB Corp.,Stock
SPHS,America,USD,NGM,"Sophiris Bio, Inc.",Stock
FLST,America,USD,PNK,"FuelStream, Inc.",Stock
WVFC,America,USD,NGM,WVS Financial Corp.,Stock
EBTC,America,USD,NMS,Enterprise Bancorp Inc.,Stock
VRHD,America,USD,PNK,"VR Holdings, Inc.",Stock
CTC-A.TO,America,CAD,TOR,Canadian Tire Corp. Ltd.,Stock
XCI.DE,Europe,EUR,GER,China Unicom (Hong Kong) Limited,Stock
DQ,America,USD,NYQ,Daqo New Energy Corp.,Stock
UNCFF,America,USD,PNK,UniCredit S.p.A.,Stock
SKPJY,America,USD,PNK,SKY Perfect JSAT Holdings Inc.,Stock
DW,America,USD,NYQ,Drew Industries Incorporated,Stock
DV,America,USD,NYQ,DeVry Education Group Inc.,Stock
DY,America,USD,NYQ,Dycom Industries Inc.,Stock
DX,America,USD,NYQ,Dynex Capital Inc.,Stock
CQE.TO,America,CAD,TOR,Cequence Energy Ltd.,Stock
REFR,America,USD,NCM,Research Frontiers Inc.,Stock
RAL.PA,Europe,EUR,PAR,Rallye Soci,Stock
DB,America,USD,NYQ,Deutsche Bank AG,Stock
DE,America,USD,NYQ,Deere & Company,Stock
DD,America,USD,NYQ,E. I. du Pont de Nemours and Company,Stock
DG,America,USD,NYQ,Dollar General Corporation,Stock
DF,America,USD,NYQ,Dean Foods Company,Stock
TULSYAN.BO,Asia,INR,BSE,Tulsyan NEC Ltd.,Stock
DK,America,USD,NYQ,"Delek US Holdings, Inc.",Stock
DL,America,USD,NYQ,China Distance Education Holdings Limited,Stock
NTIOF,America,USD,PNK,National Bank of Canada,Stock
RANJF,America,USD,PNK,Randstad Holding NV,Stock
DRYN,America,USD,PNK,DRAYTON RICHDALE NEW,Stock
TEF,America,USD,NYQ,Telef,Stock
FFIV,America,USD,NMS,"F5 Networks, Inc.",Stock
TEO,America,USD,NYQ,Telecom Argentina S.A.,Stock
TEN,America,USD,NYQ,Tenneco Inc.,Stock
TEL,America,USD,NYQ,TE Connectivity Ltd.,Stock
TEI,America,USD,NYQ,Templeton Emerging Markets Inco,Stock
FNMAI,America,USD,OBB,Federal National Mortgage Association,Stock
TEU,America,USD,NYQ,Box Ships Inc.,Stock
JARLF,America,USD,PNK,Jardine Matheson Holdings Limited,Stock
TER,America,USD,NYQ,Teradyne Inc.,Stock
DAKT,America,USD,NMS,Daktronics Inc.,Stock
LRAD,America,USD,NCM,LRAD Corporation,Stock
RLI,America,USD,NYQ,RLI Corp.,Stock
DRYS,America,USD,NMS,"DryShips, Inc.",Stock
TEX,America,USD,NYQ,Terex Corp.,Stock
UNB,America,USD,NGM,"Union Bankshares, Inc.",Stock
MYCC,America,USD,NYQ,"ClubCorp Holdings, Inc.",Stock
GAMR,America,USD,OBB,"Great American Group, Inc.",Stock
FNFV,America,USD,NYQ,Fidelity National Financial Ventures,Stock
BMAQ,America,USD,OBB,BRIGHT MTN ACQUISITI,Stock
TCTZF,America,USD,PNK,Tencent Holdings Ltd.,Stock
FRE.DE,Europe,EUR,GER,Fresenius SE & Co KGaA,Stock
ATV.AX,Asia,AUD,ASX,Atlantic Gold NL,Stock
BPOP,America,USD,NMS,"Popular, Inc.",Stock
BXS,America,USD,NYQ,"BancorpSouth, Inc.",Stock
BXP,America,USD,NYQ,Boston Properties Inc.,Stock
CIK,America,USD,ASE,Credit Suisse Asset Management Income Fund Inc.,Stock
TGTX,America,USD,NCM,"TG Therapeutics, Inc.",Stock
FFIC,America,USD,NMS,Flushing Financial Corp.,Stock
WPTH,America,USD,PNK,Westport Energy Holdings Inc.,Stock
WSRFP,America,USD,PNK,WEBSTER FINL PFD,Stock
AMEC.L,Europe,GBP,LSE,AMEC plc,Stock
AIG.MX,America,MXN,MEX,"American International Group, Inc.",Stock
BXE,America,USD,ASE,Bellatrix Exploration Ltd.,Stock
AEIS,America,USD,NMS,"Advanced Energy Industries, Inc.",Stock
KONA,America,USD,NGM,Kona Grill Inc.,Stock
CIG,America,USD,NYQ,Companhia Energ,Stock
MCRI,America,USD,NMS,Monarch Casino & Resort Inc.,Stock
CVX,America,USD,NYQ,Chevron Corporation,Stock
KONE,America,USD,NCM,Kingtone Wirelessinfo Solution Holding Ltd.,Stock
MHFI,America,USD,NYQ,"McGraw Hill Financial, Inc.",Stock
CVU,America,USD,ASE,CPI Aerostructures Inc.,Stock
FBMI,America,USD,NMS,Firstbank Corporation,Stock
CVV,America,USD,NCM,CVD Equipment Corporation,Stock
CVS,America,USD,NYQ,CVS Health Corporation,Stock
CVR,America,USD,ASE,Chicago Rivet & Machine Co.,Stock
BLRDF,America,USD,PNK,BILLERUD AB,Stock
USA,America,USD,NYQ,Liberty All Star Equity Fund,Stock
USB,America,USD,NYQ,U.S. Bancorp,Stock
FBMS,America,USD,NGM,First Bancshares Inc.,Stock
CVI,America,USD,NYQ,"CVR Energy, Inc.",Stock
FTVI.L,Europe,GBP,LSE,Foresight VCT Infrastructure Ord,Stock
CLN.VX,Europe,CHF,VTX,CLARIANT N,Stock
USG,America,USD,NYQ,USG Corporation,Stock
CVE,America,USD,NYQ,Cenovus Energy Inc.,Stock
CVD,America,USD,NYQ,Covance Inc.,Stock
CVG,America,USD,NYQ,Convergys Corporation,Stock
CVA,America,USD,NYQ,Covanta Holding Corporation,Stock
USM,America,USD,NYQ,United States Cellular Corporation,Stock
CVC,America,USD,NYQ,Cablevision Systems Corporation,Stock
CVB,America,USD,NYQ,Lehman ABS Corporation 7.75% Co,Stock
RSH,America,USD,NYQ,RadioShack Corp.,Stock
FIGY,America,USD,PCX,Barclays ETN+ FI Enhanced Glb Hi Yld,Stock
NULM,America,USD,PNK,New ULM Telecom Inc.,Stock
RBGPF,America,USD,PNK,Reckitt Benckiser Group plc,Stock
VSTR,America,USD,PNK,Valuesetters Inc.,Stock
O39.SI,Asia,SGD,SES,Oversea-Chinese Banking Corporation Limited,Stock
DEX,America,USD,NYQ,Delaware Enhanced Global Divide,Stock
DEG,America,USD,NYQ,"Etablissements Delhaize Fr̬res et Cie ""Le Lion"" (Groupe Delhaize) SA",Stock
MHLD,America,USD,NMS,"Maiden Holdings, Ltd.",Stock
AC-B.TO,America,CAD,TOR,Air Canada,Stock
VSTM,America,USD,NGM,"Verastem, Inc.",Stock
ICTV,America,USD,PNK,ICTV Brands Inc.,Stock
VSTI,America,USD,PNK,"Versus Technology, Inc.",Stock
DEO,America,USD,NYQ,Diageo plc,Stock
DEL,America,USD,NYQ,Deltic Timber Corporation,Stock
DEJ,America,USD,ASE,Dejour Energy Inc.,Stock
DEI,America,USD,NYQ,Douglas Emmett Inc,Stock
VSTA,America,USD,PNK,"VistaGen Therapeutics, Inc.",Stock
K3OD.SI,Asia,USD,SES,PetroChina Co. Ltd.,Stock
VSI.V,America,CAD,VAN,Vendtek Systems Inc.,Stock
HZUVF,America,USD,PNK,Horizons US Black Swan ETF Comm,Stock
AIC.MI,Europe,EUR,MIL,AICON,Stock
DTE.DE,Europe,EUR,GER,Deutsche Telekom AG,Stock
CLR,America,USD,NYQ,"Continental Resources, Inc.",Stock
EVO,America,USD,ASE,Eaton Vance Ohio Municipal Inco,Stock
RALS.JK,Asia,IDR,JKT,Ramayana Lestari Sentosa Tbk.,Stock
EVM,America,USD,ASE,Eaton Vance California Municipa,Stock
NHC.TO,America,CAD,TOR,Northstar Healthcare Inc.,Stock
SAL,America,USD,NCM,Salisbury Bancorp Inc.,Stock
SAM,America,USD,NYQ,Boston Beer Co. Inc.,Stock
SAN,America,USD,NYQ,"Banco Santander, S.A.",Stock
SAH,America,USD,NYQ,Sonic Automotive Inc.,Stock
PZA.TO,America,CAD,TOR,Pizza Pizza Royalty Corp.,Stock
VLE.TO,America,CAD,TOR,Valeura Energy Inc.,Stock
SCAF,America,USD,PNK,Security California Bancorp,Stock
CRYO,America,USD,PNK,American Cryostem Corporation,Stock
TSCDF,America,USD,PNK,Tesco PLC,Stock
SCAL,America,USD,PNK,"Stem Cell Authority, Ltd.",Stock
SCAI,America,USD,NMS,"Surgical Care Affiliates, Inc.",Stock
COWID,America,USD,PNK,"CoroWare, Inc.",Stock
MIXT,America,USD,NYQ,MiX Telematics Limited,Stock
XBLA.F,Europe,EUR,FRA,BKK LIFE ASSUR NVDR,Stock
CPWR,America,USD,NMS,Compuware Corporation,Stock
ABIO,America,USD,NCM,"ARCA biopharma, Inc.",Stock
GTA.V,America,CAD,VAN,GTA Resources and Mining Inc.,Stock
JB1.F,Europe,EUR,FRA,J.B.HUNT TRANSP,Stock
0095.KL,Asia,MYR,KLS,XINGHE HOLDINGS BERHAD,Stock
NXWIE,America,USD,OBB,NEXAIRA WIRELESS INC,Stock
CSCO,America,USD,NMS,"Cisco Systems, Inc.",Stock
NVA.TO,America,CAD,TOR,NuVista Energy Ltd.,Stock
CSCD,America,USD,NGM,Cascade Microtech Inc.,Stock
QIWI,America,USD,NMS,Qiwi plc,Stock
NAUG,America,USD,PNK,"NowAuto Group, Inc.",Stock
NXOI,America,USD,PNK,Next 1 Interactive Inc.,Stock
CSCB,America,USD,PCX,Credit Suisse Commodity Benchmark ETN,Stock
CZYB,America,USD,PNK,"Citizens Community Bank (South Hill, VA)",Stock
CLA,America,USD,NYQ,Capitala Finance Corp. 7.125% N,Stock
NHO.AX,Asia,AUD,ASX,New Horizon Coal Limited,Stock
HEOP,America,USD,NCM,Heritage Oaks Bancorp,Stock
PORMF,America,USD,PNK,NovX21 Inc.,Stock
USIM5.SA,America,BRL,SAO,USIMINAS    -PNA     N1,Stock
FATE,America,USD,NGM,"Fate Therapeutics, Inc.",Stock
HRAA,America,USD,PNK,"Health Revenue Assurance Holdings, Inc.",Stock
VIKSHEN.BO,Asia,INR,BSE,VIKSHIT ENG,Stock
DL.AS,Europe,EUR,AMS,DELTA LLOYD,Stock
WYETH.NS,Asia,INR,NSI,Wyeth Limited,Stock
SGAPY,America,USD,PNK,Singapore Telecommunications Limited,Stock
ZENYF,America,USD,PNK,Zenyatta Ventures Ltd,Stock
NOEEE,America,USD,PNK,Northern Empire Energy Corporation,Stock
6244.TWO,Asia,TWD,TWO,MOTECH INDUSTRIES TWD10,Stock
OCUL,America,USD,NGM,"Ocular Therapeutix, Inc.",Stock
OGZPY,America,USD,PNK,Open Joint Stock Company Gazprom,Stock
WM.TO,America,CAD,TOR,Wallbridge Mining Co. Ltd.,Stock
ROX.V,America,CAD,VAN,"Canstar Resources, Inc.",Stock
AD.TO,America,CAD,TOR,Alaris Royalty Corp.,Stock
CAKE,America,USD,NMS,The Cheesecake Factory Incorporated,Stock
0867.HK,Asia,HKD,HKG,China Medical System Holdings Ltd.,Stock
MEF1.F,Europe,EUR,FRA,MCH GROUP N,Stock
SHLM,America,USD,NMS,"A. Schulman, Inc.",Stock
WWNTF,America,USD,PNK,Want Want China Holdings Ltd.,Stock
NHPI,America,USD,PNK,"Neuro-Hitech, Inc.",Stock
ELET3.SA,America,BRL,SAO,ELETROBRAS  -ON      N1,Stock
VIZC,America,USD,PNK,"VizConnect, Inc.",Stock
WWNTY,America,USD,PNK,Want Want China Holdings Ltd.,Stock
EVEN3.SA,America,BRL,SAO,Even Construtora e Incorporadora S.A.,Stock
AIMC,America,USD,NMS,Altra Industrial Motion Corp.,Stock
ORN,America,USD,NYQ,"Orion Marine Group, Inc",Stock
ORI,America,USD,NYQ,Old Republic International Corporation,Stock
SRWRF,America,USD,PNK,SolarWorld AG,Stock
LIC.AX,Asia,AUD,ASX,Lifestyle Communities Ltd,Stock
AIMH,America,USD,PNK,AimRite Holdings Corp.,Stock
ORA,America,USD,NYQ,Ormat Technologies Inc.,Stock
ORC,America,USD,ASE,"Orchid Island Capital, Inc.",Stock
ORB,America,USD,NYQ,Orbital Sciences Corp.,Stock
TXN,America,USD,NMS,Texas Instruments Inc.,Stock
ORLY,America,USD,NMS,O'Reilly Automotive Inc.,Stock
TYEKF,America,USD,PNK,ThyssenKrupp AG,Stock
TPO.BE,Europe,EUR,BER,TOKYO ELECTR POWER,Stock
AURE.PA,Europe,EUR,PAR,Aurea SA,Stock
CCEL,America,USD,PNK,"Cryo-Cell International, Inc.",Stock
JD.L,Europe,GBP,LSE,JD Sports Fashion plc,Stock
NG.TO,America,CAD,TOR,NovaGold Resources Inc.,Stock
YY,America,USD,NMS,YY Inc.,Stock
AGR.OL,Europe,NOK,OSL,AGR GROUP -A-,Stock
ZVV,America,USD,PCX,NYSE ARCA test stock,Stock
AMAP,America,USD,NMS,AutoNavi Holdings Limited,Stock
SIFY,America,USD,NMS,Sify Technologies Limited,Stock
MDVT,America,USD,PNK,Middlebury National Corp.,Stock
AMAT,America,USD,NMS,"Applied Materials, Inc.",Stock
NOURF,America,USD,PNK,Northern Minerals Limited,Stock
JAGDAMD.BO,Asia,INR,BSE,JAGDAMBA FDS,Stock
TVC,America,USD,NYQ,Tennessee Valley Authority,Stock
IVO.F,Europe,EUR,FRA,JOE'S JEANS,Stock
SIFI,America,USD,NGM,SI Financial Group Inc.,Stock
AMAG,America,USD,NMS,"AMAG Pharmaceuticals, Inc.",Stock
JQW.L,Europe,GBP,LSE,JQW -NPV-,Stock
AXGN,America,USD,NCM,"AxoGen, Inc.",Stock
BLFS,America,USD,NCM,"BioLife Solutions, Inc.",Stock
SMCB.JK,Asia,IDR,JKT,Holcim Indonesia Tbk.,Stock
BDRAF,America,USD,PNK,Bombardier Inc.,Stock
TTWO,America,USD,NMS,Take-Two Interactive Software Inc.,Stock
VLYWW,America,USD,NCM,Valley National Bancorp,Stock
FOE.OL,Europe,NOK,OSL,F.OLSEN ENERGY,Stock
TOAK,America,USD,PNK,"Treaty Oak Bancorp, Inc.",Stock
CTDH,America,USD,PNK,CTD Holdings Inc.,Stock
BARC.L,Europe,GBP,LSE,Barclays PLC,Stock
ATXDY,America,USD,PNK,AusTex Oil Limited,Stock
PVS-PB.TO,America,CAD,TOR,PARTNERS VALUE SPLIT CORP PREF ,Stock
BRDCF,America,USD,PNK,Bridgestone Corp.,Stock
INI.SW,Europe,CHF,EBS,INFRANOR INTER,Stock
TROX,America,USD,NYQ,Tronox Limited,Stock
CUS.TO,America,CAD,TOR,Canexus Corporation,Stock
OKSB,America,USD,NMS,Southwest Bancorp Inc.,Stock
AOS,America,USD,NYQ,AO Smith Corp.,Stock
PNN.V,America,CAD,VAN,Pennine Petroleum Corporation,Stock
WESC,America,USD,PNK,W&E; Source Corp,Stock
NEE-PG,America,USD,NYQ,"NextEra Energy, Inc. Series G J",Stock
TROV,America,USD,NCM,"TrovaGene, Inc.",Stock
TROW,America,USD,NMS,"T. Rowe Price Group, Inc.",Stock
AOD,America,USD,NYQ,Alpine Total Dynamic Dividend F,Stock
NEE-PI,America,USD,NYQ,"NextEra Energy, Inc. Series I J",Stock
AOI,America,USD,NYQ,"Alliance One International, Inc.",Stock
AOL,America,USD,NYQ,AOL Inc.,Stock
AON,America,USD,NYQ,Aon plc,Stock
NGHC,America,USD,NGM,National General Holdings Corp.,Stock
TPTJF,America,USD,PNK,Topps Tiles plc,Stock
RGEN,America,USD,NMS,Repligen Corporation,Stock
NEPCMICON.NS,Asia,INR,NSI,NEPC India Limited,Stock
888.L,Europe,GBP,LSE,888 Holdings Public Limited Company,Stock
SAMOF,America,USD,PNK,Sangoma Technologies Corp.,Stock
TCEL,America,USD,PNK,"Therapy Cells, Inc.",Stock
AAPL,America,USD,NMS,Apple Inc.,Stock
PBIP,America,USD,NGM,"Prudential Bancorp, Inc.",Stock
LMINF,America,USD,PNK,LMA INTERNATIONAL NV,Stock
NILE,America,USD,NMS,Blue Nile Inc.,Stock
3IN.L,Europe,GBP,LSE,3i Infrastructure plc,Stock
PBIO,America,USD,PNK,"Pressure BioSciences, Inc.",Stock
PBIB,America,USD,NCM,Porter Bancorp Inc.,Stock
HRF.F,Europe,EUR,FRA,DAIKYO,Stock
BBG.AX,Asia,AUD,ASX,Billabong International Limited,Stock
SKE.AX,Asia,AUD,ASX,SKILLED Group Limited,Stock
TNET,America,USD,NYQ,"TriNet Group, Inc.",Stock
SKI.OL,Europe,NOK,OSL,SKIENS AKTIEMOLLE,Stock
XLS,America,USD,NYQ,Exelis Inc.,Stock
NOL.V,America,CAD,VAN,KNOL RESOURCES CORP,Stock
LEVYW,America,USD,NCM,Levy Acquisition Corp.,Stock
ALLOG.PA,Europe,EUR,PAR,Logic Instrument SA,Stock
CUNB,America,USD,NCM,CU Bancorp,Stock
SOV-PC,America,USD,NYQ,"Santander Holdings USA, Inc. De",Stock
BPM.V,America,CAD,VAN,Bralorne Gold Mines Ltd.,Stock
KEY.TO,America,CAD,TOR,Keyera Corp.,Stock
RPL.DE,Europe,EUR,GER,UPM-Kymmene Oyj,Stock
BEMA3.SA,America,BRL,SAO,BEMATECH    -ON      NM,Stock
ASL.L,Europe,GBP,LSE,Aberforth Smaller Companies Ord,Stock
WLWHY,America,USD,PNK,Woolworths Holdings Limited,Stock
BKIMF,America,USD,PNK,BANKINTER SA REG SHS,Stock
VNRX,America,USD,PNK,VolitionRX Ltd,Stock
GS.TO,America,CAD,TOR,"Gluskin Sheff + Associates, Inc.",Stock
JBH.AX,Asia,AUD,ASX,JB Hi-Fi Limited,Stock
NHY.OL,Europe,NOK,OSL,NORSK HYDRO,Stock
ASC.L,Europe,GBP,LSE,ASOS,Stock
MAB,America,USD,ASE,Eaton Vance Massachusetts Munic,Stock
MAC,America,USD,NYQ,The Macerich Company,Stock
WBC,America,USD,NYQ,WABCO Holdings Inc.,Stock
WBB,America,USD,NCM,"Westbury Bancorp, Inc.",Stock
MAN,America,USD,NYQ,ManpowerGroup Inc.,Stock
WBK,America,USD,NYQ,Westpac Banking Corporation,Stock
MAV,America,USD,NYQ,Pioneer Municipal High Income Advantage Trust,Stock
MAT,America,USD,NMS,"Mattel, Inc.",Stock
EEA,America,USD,NYQ,"The European Equity Fund, Inc. ",Stock
MAR,America,USD,NMS,"Marriott International, Inc.",Stock
MAS,America,USD,NYQ,Masco Corporation,Stock
WBS,America,USD,NYQ,Webster Financial Corp.,Stock
NTN.V,America,CAD,VAN,Newton Energy Corporation,Stock
JFIL,America,USD,PNK,Jiu Feng Investment Hong Kong Ltd.,Stock
NNW.AX,Asia,AUD,ASX,99 Wuxian Limited,Stock
1216.TW,Asia,TWD,TAI,UNI-PRESIDENT ENT TWD10,Stock
ABCD,America,USD,NCM,"Cambium Learning Group, Inc.",Stock
KBIO,America,USD,NGM,"KaloBios Pharmaceuticals, Inc.",Stock
NYVU.BE,Europe,EUR,BER,THORESEN THAI NVDR,Stock
CGIX,America,USD,NCM,"Cancer Genetics, Inc.",Stock
ATV.V,America,CAD,VAN,Alto Ventures Ltd.,Stock
ENEL.MI,Europe,EUR,MIL,Enel SpA,Stock
AF.TO,America,CAD,TOR,AlarmForce Industries Inc.,Stock
TKA.DE,Europe,EUR,GER,ThyssenKrupp AG,Stock
NAKODA.BO,Asia,INR,BSE,NAKODA,Stock
LMIA,America,USD,NMS,LMI Aerospace Inc.,Stock
FRP,America,USD,NCM,"Fairpoint Communications, Inc.",Stock
BMR.L,Europe,GBP,LSE,BERKELEY MINER,Stock
FRT,America,USD,NYQ,Federal Realty Investment Trust,Stock
SGP.AX,Asia,AUD,ASX,Stockland Corp. Ltd.,Stock
SMBC,America,USD,NGM,"Southern Missouri Bancorp, Inc.",Stock
PRFZ,America,USD,NGM,PowerShares FTSE RAFI US 1500 Sm-Mid ETF,Stock
FRM,America,USD,NYQ,Furmanite Corporation,Stock
FRO,America,USD,NYQ,Frontline Ltd.,Stock
FRA,America,USD,NYQ,Blackrock Floating Rate Income ,Stock
FRC,America,USD,NYQ,First Republic Bank,Stock
FRD,America,USD,ASE,"Friedman Industries, Incorporated",Stock
FRF,America,USD,NYQ,Fortegra Financial Corporation,Stock
TOP.AX,Asia,AUD,ASX,Thorney Opportunities Ltd.,Stock
NCBDF,America,USD,PNK,NAMCO BANDAI Holdings Inc.,Stock
FNLC,America,USD,NMS,"The First Bancorp, Inc.",Stock
XSR.TO,America,CAD,TOR,Sirius XM Canada Holdings Inc.,Stock
SFRGF,America,USD,PNK,Salvatore Ferragamo SpA,Stock
DLPH,America,USD,NYQ,Delphi Automotive PLC,Stock
SLNR,America,USD,OBB,Sealand Natural Resources Inc.,Stock
WLRH,America,USD,NCM,WL Ross Holding Corp.,Stock
CJT.TO,America,CAD,TOR,Cargojet Inc.,Stock
GBR,America,USD,ASE,"New Concept Energy, Inc.",Stock
CVGW,America,USD,NMS,Calavo Growers Inc.,Stock
ADHD,America,USD,NGM,Alcobra Ltd.,Stock
GBX,America,USD,NYQ,"The Greenbrier Companies, Inc.",Stock
TSUSF,America,USD,PNK,TSURUHA HOLDINGS,Stock
HRP.V,America,CAD,VAN,HRT Participa,Stock
KSS,America,USD,NYQ,Kohl's Corp.,Stock
KST,America,USD,NYQ,Deutsche Strategic Income Trust,Stock
KSU,America,USD,NYQ,Kansas City Southern,Stock
BCH,America,USD,NYQ,Banco de Chile,Stock
ADS.DE,Europe,EUR,GER,Adidas AG,Stock
BCC,America,USD,NYQ,Boise Cascade Company,Stock
PFG.L,Europe,GBP,LSE,Provident Financial plc,Stock
BCA,America,USD,NYQ,CorpBanca,Stock
BCF,America,USD,NYQ,Blackrock Real Asset Equity Tru,Stock
BCE,America,USD,NYQ,BCE Inc.,Stock
NSP.V,America,CAD,VAN,Naturally Splendid Enterprises Ltd.,Stock
BCX,America,USD,NYQ,BlackRock Resources Common Shar,Stock
GNVN,America,USD,PNK,Geneva Financial Corp.,Stock
BCS,America,USD,NYQ,Barclays PLC,Stock
BCR,America,USD,NYQ,CR Bard Inc.,Stock
BCV,America,USD,ASE,Bancroft Fund Ltd.,Stock
AKZA.AS,Europe,EUR,AMS,AKZO NOBEL,Stock
1IL.BE,Europe,EUR,BER,ILAND GREEN N,Stock
PSM.F,Europe,EUR,FRA,PROSIEBEN SAT.1 N,Stock
KSK.V,America,CAD,VAN,Kiska Metals Corporation,Stock
POAHY,America,USD,PNK,Porsche Automobil Holding SE,Stock
ACJJF,America,USD,PNK,ACOM CO LTD  JPY,Stock
HCBK,America,USD,NMS,"Hudson City Bancorp, Inc.",Stock
NSU.TO,America,CAD,TOR,Nevsun Resources Ltd.,Stock
MUX,America,USD,NYQ,McEwen Mining Inc.,Stock
SEIC,America,USD,NMS,SEI Investments Co.,Stock
ULS.L,Europe,GBP,LSE,ULS TECHNOLOGY,Stock
NCU.TO,America,CAD,TOR,Nevada Copper Corp.,Stock
LUK,America,USD,NYQ,Leucadia National Corporation,Stock
TBAC,America,USD,PNK,"Tandy Brands Accessories, Inc.",Stock
AQUUU,America,USD,PNK,AQUASITION CP UNITS,Stock
VNP.TO,America,CAD,TOR,5N Plus Inc.,Stock
QTMR,America,USD,PNK,Quantum MRI Inc.,Stock
QTMM,America,USD,PNK,Quantum Materials Corp.,Stock
MJN,America,USD,NYQ,Mead Johnson Nutrition Company,Stock
LUV,America,USD,NYQ,Southwest Airlines Co.,Stock
MTDR,America,USD,NYQ,Matador Resources Company,Stock
NORSA,America,USD,PNK,North State Telecommunications Corp.,Stock
AFSE,America,USD,PNK,All Energy Corporation,Stock
BKEPP,America,USD,NGM,"Blueknight Energy Partners, L.P.",Stock
ALFA.ST,Europe,SEK,STO,ALFA LAVAL,Stock
END,America,USD,NYQ,Endeavour International Corporation,Stock
NHC-PA,America,USD,ASE,National HealthCare Corporation,Stock
VKIN,America,USD,PNK,"Viking Investments Group, Inc.",Stock
ENJ,America,USD,NYQ,"Entergy New Orleans, Inc.",Stock
CNQ.TO,America,CAD,TOR,Canadian Natural Resources Limited,Stock
MTDL.JK,Asia,IDR,JKT,Metrodata Electronics Tbk.,Stock
FFKY,America,USD,NGM,First Financial Service Corp.,Stock
E02.SI,Asia,SGD,SES,Eu Yan Sang International Ltd,Stock
NTRHF,America,USD,PNK,Nature Group PLC,Stock
IDBCQ,America,USD,OBB,Idaho Bancorp.,Stock
SWHC,America,USD,NMS,Smith & Wesson Holding Corporation,Stock
FFKT,America,USD,NMS,Farmers Capital Bank Corporation,Stock
VBRCF,America,USD,PNK,VibroPower Corporation Limited,Stock
TL5.MC,Europe,EUR,MCE,MEDIASET ESPANA,Stock
3800.HK,Asia,HKD,HKG,GCL-Poly Energy Holdings Ltd.,Stock
